Type,ClassCode,ClassName,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017,2018-2022
Area_km2,1,Woodland,45.10,87.64,157.74,184.58,224.59,269.66,306.58,349.14,386.57,398.96
Area_km2,2,Shrubland,233.59,297.86,295.77,278.21,281.84,286.65,289.32,282.74,278.42,274.76
Area_km2,3,Grassland,561.29,460.05,379.76,359.88,315.80,267.94,230.91,203.10,172.94,158.94
Area_km2,4,Barren land,71.98,56.64,53.45,52.06,47.30,45.01,43.97,38.33,32.10,32.97
Area_km2,5,Built-up area,92.54,94.56,124.23,148.51,176.02,182.14,186.07,184.39,189.82,197.01
Area_km2,6,Water,110.66,118.40,104.22,91.91,69.61,63.76,58.32,57.46,55.31,52.52
Area_km2,0,Total,1115.16,1115.16,1115.16,1115.16,1115.16,1115.16,1115.16,1115.16,1115.16,1115.16
95ConfidenceInterval,1,Woodland,9.94,12.39,13.80,13.70,14.84,16.02,15.94,16.08,16.24,17.65
95ConfidenceInterval,2,Shrubland,17.13,16.36,18.74,17.73,18.38,19.05,20.02,18.43,16.93,17.70
95ConfidenceInterval,3,Grassland,19.65,16.45,17.33,16.17,15.48,15.53,16.72,15.68,15.29,14.77
95ConfidenceInterval,4,Barren land,12.37,12.07,11.09,9.89,9.96,10.06,10.13,10.86,10.04,10.04
95ConfidenceInterval,5,Built-up area,11.20,10.02,9.48,10.11,9.87,9.79,10.73,9.76,10.12,11.25
95ConfidenceInterval,6,Water,6.20,4.67,4.52,5.00,4.69,2.54,4.00,3.63,2.55,4.03
